"annotation_id"	"annotator"	"created_at"	"id"	"lead_time"	"sentiment"	"text"	"updated_at"
12	"1"	"2025-10-08T07:49:57.739080Z"	996	35.613	"Pendidikan"	"Kehilangan ijasah, apkh bisa d urus dgn mndatangi sekolah, dan pgn tau persyaratannya apa saja, sekiranya msh bisa d urus, slnya sngt berharga krna saya tkut phk dgn kondisi pbrik d purbalingga yg skrg ini, sdngkn pgn kja lgi namun ijasah hilang"	"2025-10-08T07:49:57.739080Z"

13	"1"	"2025-10-08T07:51:22.856045Z"	997	84.289	"Pelayanan Publik"	"Assalamualaikum Bu Bupati Purbalingga Saya sampaikan bahwa saat ini pandemi DBD sedang mewabah di Purbalingga. Saya tinggal di Perum Griya Perwira Asrie 2 Blok B No 2 sekeluarga jadi korban DBD dan melalui surat dari RS kami serahkan ke RT setempat untuk bisa diteruskan ke Desa namun tidak ada respon apapun. Mohon bisa dibantu proses pencegahan agar tidak ada korban selanjutnya dengan Foging. Saya ada info proses pencegahan Foging akan dilakukan jika ada korban meninggal dunia. Terima kasih Kami tunggu respon cepatnya Tertanda Krisna Ispandya Warga Perum GPA 2 Blok B No 2 Desa Babakan Kecamatan Kalimanah"	"2025-10-08T07:51:22.856045Z"

14	"1"	"2025-10-08T07:52:51.155905Z"	998	87.243	"Pelayanan Publik"	"Bismillah Selamat siang Bu tiwi, ijin menanyakan untuk sertifikasi guru sudah bulan ke 5 belum cair bu.. Biasanya purbalingga yang cepat cairnnya tapi taun ini sampe bulan mei belum di cairkan..Semoga bu tiwi bisa menangani masalah sertifikasi guru di purbalingga ini.. Kami para guru akan sangat2 berterimakasih apabila masalah ini segera terespon.. Terimakasih Bu Tiwi sehat selalu.."	"2025-10-08T07:52:51.155905Z"

15	"1"	"2025-10-08T08:01:03.109220Z"	999	103.241	"Pelayanan Publik"	"Aplikasi untuk daftar online rusak, kouta penuh terus padahal online tengah malam"	"2025-10-08T08:01:03.109220Z"

16	"1"	"2025-10-08T08:01:12.771447Z"	1000	8.911	"Infrastruktur"	"Longsor ,mohon segera diperbaiki menutup jalan akses sehari hari"	"2025-10-08T08:01:12.771447Z"

17	"1"	"2025-10-08T08:01:44.016902Z"	1001	30.472	"Infrastruktur"	"Mohon agar ditambahkan rambu yang menginformasikan LURUS JALAN TERUS pada perempatan lampu merah di dekat Samsat Purbalinga"	"2025-10-08T08:01:44.016902Z"

18	"1"	"2025-10-08T08:03:58.939864Z"	1002	153.97699999999998	"Ketertiban"	"Selamat Pagi Bapak/Ibu Admin yang terhormat, saya hanya ingin sedikit bertanya dan berkeluh kesah dan semoga tersampaikan kepada ibu bupati dyah hayuning pratiwi. Kenapa di purbalingga itu banyak sekali tukang parkir? setiap toko toko ruko ruko atau tempat itu pasti ada tukang parkir, saya sendiri sedikit kesal, karena saya mencari barang itu tidak ada tapi tetap di tarirkin parkir, meskipun itu berseragam apakah parkir itu legal? karena saya tidak diberikan karcis. saya ingin kedepannya itu lebih transparan, dengan menggunakan karcis Terima kasih"	"2025-10-08T08:46:07.059623Z"

19	"1"	"2025-10-08T08:05:21.772806Z"	1003	81.717	"Pelayanan Publik"	"Hari ini 1 april 2024 saya melakukan permohonan perpanjangan SIM B1 saya Setelah melakukan persyaratan seprti test kesehatan dan psikolog kenapa saya di arahkan ke ruang test simulator? Saya perpanjang, bukan buat baru, setelah saya baca syarat dan langkah perpanjangan SIM tidak ada tertulis untuk test simulator Dan parahnya saya disuruh pulang untuk menunggu informasi lebih lanjut via whatsaap dikarnakan bagian test simulator belum ada orangnya, padahal jam sudah menunjukan jam kerja yaitu jam 8 pagi lebih Sayapun bingung, birokrasi seperti ini, sedangkan tanggal 4 april nanti batas akhir sim saya Mudah mudahan ada orang baik yang membantu saya lewat aduan ini perihal apa yang saya alami TERIMAKASIH Satpas PURBALINGGA. diteruskan laporgub.jatengprov.go.id"	"2025-10-08T08:05:21.772806Z"

20	"1"	"2025-10-08T08:05:32.892136Z"	1004	10.172	"Sosial dan Ekonomi"	"Saya ingin mengadu terkait pembayaran thr PT john toys yg dicicil 70% kemarin pd tanggal 04 april ktnya sisanya akan dibayar pd tgl 22 april dan gajinya dibayar pd tgl 30 april tp diundur thr tgl 26april gajian tgl 13 mei,pdhl bulan Mei sudah masuk gajian april tp kenapa gajian maret dibayar dibulan mei trs gajian april mau dibayar kpn.tolong dong diusut PT nya"	"2025-10-08T08:05:32.892136Z"

21	"1"	"2025-10-08T08:06:06.135292Z"	1005	32.202	"Infrastruktur"	"Kepada dinas terkait perijinan pembangunan perumahan subsidi kabupaten purbalingga. Dengan hormat saya sampaikan bagai mana mekanisme penerbitan ijin prinsip sebuah PT perumahan subsidi tentang saluran irigasi di lingkungan perumahan tersebut?? Kok sampai bisa terjadi luapan / banjir dalam perumahan, apakah dalam proses perijinan tapa adanya kajian atau memang melakukan unsur unsur tertentu?? Sampai terjadi hal seolah olah kurangnya pembuatan saluran irigasi tidak memadai dengan debit aliran air pada waktu hujan lebat demikian yang dapat saya sampaikan agar segera ditindak lanjuti. Lokasi perumahan sutera serayu desa bojong mrebet, tahap 1 dan tahap 2"	"2025-10-08T08:06:06.135292Z"

22	"1"	"2025-10-08T08:06:20.078269Z"	1006	12.783	"Pelayanan Publik"	"Udah ada tanda larangan, tetapi masih ada bangunan yang berdiri di atas saluran irigasi. Di depan kantor balai desa kalikabong."	"2025-10-08T08:06:20.078269Z"

23	"1"	"2025-10-08T08:06:27.573282Z"	1007	6.32	"Infrastruktur"	"Jalananan di kampung saya tepatnya di desa binangun mengalami rusak arah Dari pemdes setempat gk ada inisiatifnya memperbaiki Warga desa binangun terutama saa kususnya ingin syekali mengungkapkan pendapat agar segera di perbaiki"	"2025-10-08T08:06:27.573282Z"

24	"1"	"2025-10-08T08:06:45.237814Z"	1008	16.518	"Pelayanan Publik"	"Ada perbedaan nama di Sertifikat tanah dengan di SPPT PBB. Sertifikat Tanah : Nama Pemegang Hak : KADEM TINI NIB : 11.29.10.06.00092 SPPT PBB : Nama SPPT PBB : SURTINAH NOP : 33.03.100.006.021-0036.0 Bagaimanakah solusi nya ?, terimakasih"	"2025-10-08T08:06:45.237814Z"

25	"1"	"2025-10-08T08:06:52.858849Z"	1009	6.607	"Pelayanan Publik"	"Mohon untuk di tingkatkan lagi pelayanan di DINPENDUKCAPIL saya bikin akta kelahiran dg persyaratan yg lengkap dan tidak ada kesalahan kok nunggunya lama . Katanya hanya 30 menit tapi kok lebih dari 2 jam bahkan sampe ada yg 3 jam menunggu ."	"2025-10-08T08:06:52.858849Z"

26	"1"	"2025-10-08T08:07:08.737334Z"	1010	14.569	"Pelayanan Publik"	"Maaf menganggu waktunya , lokasi krangean kec. Kertanegara, Dari jam 4 sore sampe jam ini mati listrik, cuaca terang, tolong di perbaiki"	"2025-10-08T08:07:08.737334Z"

27	"1"	"2025-10-08T08:07:20.531883Z"	1011	10.817	"Infrastruktur"	"Assalamu'alaikum Warahmatullahi WabarakatuhYth. Bupati dan Wakil Bupati Purbalingga beserta jajaran dan dinas terkait saya ingin melaporkan bahwa ruas jalan Kalikajar tepatnya depan Dinhub Purbalingga kalau hujan deras mesti tergenang, mungkin karena saluran drainase nya yang udah ngga berfungsi atau bagaimana, mohon untuk dinas terkait bisa menindaklanjuti. Saya usul semoga bisa dibikin saluran drainase baru aja atau mungkin jalannya di tinggikan lagi seperti ruas jalan Kalikajar-Penaruban, Soalnya kondisi jalannya juga sudah rusak parah. Mohon untuk bisa di perbaiki. Terimakasih dan mohon maaf apabila ada kata yang kurang berkenan. Wassalamu'alaikum Warahmatullahi Wabarakatuh"	"2025-10-08T08:07:20.531883Z"

28	"1"	"2025-10-08T08:07:34.445927Z"	1012	12.801	"Pelayanan Publik"	"Kepada Yth : Direktur RSUD Panti Nugroho Purbalingga Para Kepala Seksi Tembusan : Inspektorat Kabupaten Purbalingga Koordinator pelaksanaan reformasi birokrasi, sistem pengendalian internal pemerintah dan zona integritas Jasa Pelayanan adalah imbalan yang diterima oleh pelaksana pelayanan dan pendukung pelayanan di Unit Pelaksana Teknis Dinas Kesehatan Kabupaten Purbalingga atas jasa yang diberikan kepada pasien dan/atau peserta pendidikan dan penelitian dalam rangka observasi, diagnosis, pengobatan, konsultasi, visite, rehabilitasi medik dan mental, pelayanan pendidikan dan penelitian atau pelayanan lainnya. Jasa Pelayanan diberikan kepada Tenaga Medis, Keperawatan, Kesehatan lainnya, Struktural/manajerial, Pendukung pelayanan yang meliputi administrasi dan tenaga lainnya Dengan formula berdasarkan : a. kinerja individu dan tim; b. beban kerja dan tanggung jawab; c. kompetensi; d. kepatutan; e. kebersamaan. Mohon dapat diberikan penjelasan terkait anomali take home pay pegawai untuk Jasa Pelayanan di RSUD Panti Nugroho, yang harusnya tidak terjadi apabila diukur dari 5 parameter penilaian. Hal ini agar dapat menepis adanya penyalahgunaan formula pembagian hasil antara manajemen dengan tenaga medis maupun keperawatan. Jika merujuk pada aturan lebih tinggi misalkan : · Peraturan Menteri Kesehatan Nomor 28 Tahun 2014 tentang Pedoman Pelaksanaan Program Jaminan Kesehatan Nasional Berita Negara Republik Indonesia Tahun 2014 Nomor 1874; · Peraturan Menteri Kesehatan Nomor 59 Tahun 2014 tentang Standar Tarif Pelayanan Kesehatan Dalam Penyelenggaraan Program Jaminan Kesehatan Berita Negara Republik Indonesia Tahun 2014 Nomor 1287; · Dan Peraturan dari Pemerintah Daerah lainnya sebagai referensi Jawa Tengah Terdapat mekanisme dimana pembagian jaspel terbesar adalah untuk Tenaga Bidan/Perawat/Medis dengan persentase : a. tenaga dokter sebesar 20% dua puluh persen; b. tenaga bidan/perawat sebesar 70% tujuh puluh persen; c. tenaga non kesehatan sebesar 10% sepuluh persen dan persentase terbesar Jasa pelayanan kesehatan untuk tindakan persalinan PONED, Pelayanan Tindakan Kebidanan dan pelayanan Antenal Care ANC adalah sebesar 75"	"2025-10-08T08:07:34.445927Z"

29	"1"	"2025-10-08T08:07:43.684043Z"	1013	8.49	"Infrastruktur"	"Mohon pd Satpol PP, di setiap perempatan jln lampu trafic ligt banyak peminta-minta , misal di perempatan polres, krgkabur, mhn utk ditertibkan, krn sangat mengganggu pengguna jln....terima kasih...."	"2025-10-08T08:07:43.684043Z"

30	"1"	"2025-10-08T08:07:50.367331Z"	1014	6.032	"Sosial dan Ekonomi"	"Assalamu'alaikum.. Saya ingin bertanya dan menyampaikan perihal THR lebaran.. istri Saya kan sudah bekerja di PT. Royal Korindah selama 2 tahun lebih, dan berapa bulan lalu istri Saya sudah habis kontrak dan tidak diperpanjang kontrak lagi, tetapi dialihkan menjadi karyawan magang dan sudah berjalan selama berapa bulan dan juga sudah mendapatkan THR tetapi hanya 500 Ribu saja, pertanyaan Saya apakah istri Saya juga berhak mendapatkan THR Penuh/ sesuai UMR Purbalingga? Atau hanya ¼nya saja?? Dan ada juga Ibu Saya sudah bekerja selama berapa tahun di PT. Midas Purbalingga, tetapi karena PT. Midas sudah tutup semua karyawan diambil alih ke PT. Inkobuma Beauty, dan sudah berjalan berapa bulan ini sebelum bulan puasa di PT. Inkobuma Beauty Indonesia Ex. Gedung PT. Midas di Karangsentul Purbalingga tetapi dari perusahaan PT inkobuma tidak mengeluarkan Uang THR untuk setiap karyawannya kata ibu Saya, pertanyaan Saya apakah ibu Saya juga berhak menerima Uang THR dari PT tersebut? Sekian curhatan dari Saya.. Wassalamu'alaikum Wr. Wb."	"2025-10-08T08:07:50.367331Z"

31	"1"	"2025-10-08T08:08:52.556137Z"	1015	61.193	"Pelayanan Publik"	"Tolong kerjasamanya untuk PDAM , sudah 1 minggu wilayah kemangkon terutama daerah jetis kulon air tidak mengalir , kalaupun ada perbaikan , dsini kami butuh tindakan untuk darurat air."	"2025-10-08T08:08:52.556137Z"

32	"1"	"2025-10-08T08:11:09.613382Z"	1016	136.055	"Infrastruktur"	"jembatan penghubung Desa panusupan-desa tunjungmuli mohon segera diperbaiki karna sudah tidak bisa dilewati kendaraan roda 4 lokasi timur smp 4 karangmoncol sungai kahuripan"	"2025-10-08T08:11:09.613382Z"

33	"1"	"2025-10-08T08:12:53.970669Z"	1017	103.293	"Pelayanan Publik"	"selamat pagi, mau bertanya kapan akan diadakan lagi rute penerbangan komersil di bandara purbalingga? untuk memudahkan mobilisasi masyarakat. terimakasih"	"2025-10-08T08:12:53.970669Z"

34	"1"	"2025-10-08T08:13:49.631930Z"	1018	54.436	"Pelayanan Publik"	"Yth. Ibu Bupati Purbalingga Mhn maaf sebelumnya, berkaitan dg honor Pengurus Rw/Rt th 2024 khususnya di kelurahan kenapa malah turun, padahal di kab lain naik mis : Kebumen, mhn utk dpt diperhatikan bu...krn Rw/Rt bekerja 24 jam melayani masyarakat. Dmkn tks..."	"2025-10-08T08:13:49.631930Z"

38	"1"	"2025-10-08T08:47:10.795462Z"	1019	23.125	"Ketertiban"	"Minta tolong ditertibkan parkiran didepan soto misdar dan pengadilan negeri jangan dua sisi jalan dipakai buat parkir. Kami sebagai pengguna jalan yg lewat terganggu ketika papasan dg mobil dr lawan arah"	"2025-10-08T08:47:10.795462Z"

36	"1"	"2025-10-08T08:17:48.155823Z"	1020	231.067	"Sosial dan Ekonomi"	"saya mau nanya apakah ujian di sekolah dasar di pungut biaya? besar nya sampai 530000? itu di SD Negri 02 sirandu kecamatan karang jambu"	"2025-10-08T08:17:48.155823Z"

39	"1"	"2025-10-08T08:47:30.428920Z"	1022	8.747	"Infrastruktur"	"Selamat malem pangapunten ...utk lampu jl provinsi dari samping kec mrebet sampai samping SMP 1 mrebet mati .."	"2025-10-08T08:47:30.428920Z"

40	"1"	"2025-10-08T08:47:52.703212Z"	1023	21.158	"Sosial dan Ekonomi"	"Selamat pagi min, mau tanya kalau dari dinas ada acuan tarif untuk pembuatan surat sehat di Puskesmas Kab Purbalingga? Saya buat surat sehat di Puskesmas Kutasari dikenakan biaya Rp 35.000, sedangkan bulan lalu saya membuat surat yang sama di Puskesmas Sumbang Kab Banyumas hanya Rp. 15.000. Ada penyesuaian tarif atau bagaimana min? Terima kasih"	"2025-10-08T08:47:52.703212Z"

41	"1"	"2025-10-08T08:48:13.566576Z"	1024	19.911	"Lingkungan"	"Saya mohon konsultasi terkait persoalan saya. Dilingkungan saya ada yang membuka usaha peternakan ayam petelur di tengah-tengah pemukiman warga. Sehingga limbah dari peternakan itu sangat mengganggu. Selain bau juga dikhawatirkan menyebarkan penyakit dan mencemari air. Terlebih dilingkungan banyak anak-anak. Saya takut anak-anak dilingkungan itu kena penyakit karena lingkungan tidak higienis. Saya sebagai orang dewasa saja sangat terganggu dengan bau busuk yang sangat menyengat dan semakin banyaknya lalat yang berterbangan kemana mana. Ada yang menyarankan saya lapor ke dinas kesehatan dan dinas peternakan, saya mohon untuk bisa ditindaklanjuti, karena warga lingkungan tidak ada yang berani menegur pemilik secara langsung. Terimakasih"	"2025-10-08T08:48:13.566576Z"

42	"1"	"2025-10-08T08:48:38.909261Z"	1025	23.744	"Pelayanan Publik"	"Orang gila yang pakai baju cuma pakai celana dalam mukanya putih dan seluruh tubuh putih pakai tepung sering ngambil makanan ke pedagang warung sembako, kemarin ke apotek, dan mondar-mandir meresahkan banget tolong di tindak lanjuti orang gila nya"	"2025-10-08T08:48:38.909261Z"

43	"1"	"2025-10-08T08:49:02.268714Z"	1026	22.34	"Pelayanan Publik"	"Asa bu Tiwi, mohon ditinjau jalan jenderal Sudirman. Banyak yg tidak ada tong sampah. Padahal bayaran tiap bulan sudah dinaikkan"	"2025-10-08T08:49:02.268714Z"

44	"1"	"2025-10-08T08:49:24.368186Z"	1027	21.02	"Infrastruktur"	"Izin melaporkan Bu, untuk Pohon Jati Perindang milik pemerintah di Jl. Raya Kedunglegok samping SD N 1 Kedunglegok, utara Lapangan Desa Kedunglegok terpantau membahayakan. Didapati rimbunan dahan dan daun sudah banyak yang menempel kabel listrik PLN dan seringkali ketika hujan terjadi loncatan listrik besar dari kabel yang menempel di dahan. Serta rimbunan daun jati juga menghalangi penerangan jalan yang terletak didekat pohon. Mohon untuk segera dilakukan penebangan pohon tersebut, karena ditakutkan terjadi hal yang tidak diinginkan. Terimakasih"	"2025-10-08T08:49:24.368186Z"

45	"1"	"2025-10-08T08:49:43.830213Z"	1028	18.446	"Pelayanan Publik"	"Assalamu'alaikum Warahmatullahi Wabarakatuh Yth. Bupati dan Wakil Bupati Purbalingga beserta jajaran dan dinas terkait saya ingin melaporkan bahwa LPJU di Jalan Kaliakar tepatnya di Bleng beberapa pada mati dan LPJU yang didepan masjid agung darussalam purbalingga juga ada yang mati, mohon untuk dinas terkait bisa memperbaiki supaya bisa memberikan kenyamanan bagi pengguna jalan di malam hari. TerimakasihWassalamu'alaikum Warahmatullahi Wabarakatuh"	"2025-10-08T08:49:43.830213Z"

46	"1"	"2025-10-08T08:50:02.458471Z"	1029	17.191	"Infrastruktur"	"Tangkisan RT 2 RW 7 Kec. Mrebet. Kabel listrik putus melintang di jalan. Listrik mati sejak 3 hari yang lalu. Mohon bantuannya terimakasih."	"2025-10-08T08:50:02.458471Z"

47	"1"	"2025-10-08T08:50:12.452783Z"	1030	8.827	"Pelayanan Publik"	"Tolong matlis di karanganyar dan sekitarnya dinyalakan lagi, buat kebutuhan sehari-hari pas bulan Ramadhan"	"2025-10-08T08:50:12.452783Z"

48	"1"	"2025-10-08T08:50:44.603840Z"	1031	30.824	"Pelayanan Publik"	"Mohon untuk segera di tindaklanjuti terkait mati listrik sejak 3 hari yang lalu sampai saat ini belum juga menyala di desa purbasari dusun kepetek kecamatan karangjambu kabupaten purbalingga,mohon dengan sangat untuk segera di perbaiki"	"2025-10-08T08:50:44.603840Z"

49	"1"	"2025-10-08T08:51:13.764501Z"	1032	27.625	"Pelayanan Publik"	"Assalamualaikum,selamat pagi Bu Tiwi yang terhormat selalu bupati Purbalingga,saya selaku rakyat biasa mau melapor sekaligus menanyakan terkait bantuan .saya Supriyanto alamat karangreja, kec.kutasari kab.purbalingga. saya memiliki kartu keluarga sejahtera kks dlm bentuk ATM tapi sampai sekarang belum pernah isi,dan belum ada bantuanya,kami mohon untuk di tidak lanjuti terkait hal tersebut,karena kami harus ngecek tiap kali yg lain ada bantuan tapi kami selalu kosong,sekitar terimakasih Wassalamu'alaikum"	"2025-10-08T08:51:13.764501Z"

50	"1"	"2025-10-08T08:51:50.883423Z"	1033	35.554	"Pelayanan Publik"	"Bu saya Mau Tanya, Bulan Puasa Kaya Gini Kalo PT Lembur Maksimal berapa Jam? DI PT brobot Yang Sebelah Kuburan kiri jalan Itu Kok Pulang kadang sampai Larut Malam, jam lembur juga mati, Kadang Gaji di undur,, Apakah Itu PT sudah Memenuhi standard? hari ini juga jam 21.00 istri saya Belum Boleh Pulang Jg, Itu Pt suruh Kerja rodi apa Bagaimana? TOLONG bu Tindakannya, Kasian Lagi Puasa kaya kerja rodi bu,"	"2025-10-08T08:51:50.883423Z"

51	"1"	"2025-10-08T08:52:04.148136Z"	1034	12.017	"Pelayanan Publik"	"Listrik padam dari jam 04.20 pagi sampai sekarang jam 13.12 belum ada tanda-tanda nyala di Desa Gunungkarang, Bobotsari."	"2025-10-08T08:52:04.148136Z"

52	"1"	"2025-10-08T08:52:15.842812Z"	1035	10.667	"Infrastruktur"	"Yth Pemkot Purbalingga dan jajarannya, Mohon dilakukan perbaikan jalanan yang rusak sepanjang jalan linggamas menuju pasar kemangkon, sangat merepotkan pengguna jalan khususnya pengendara roda dua. Karena melihat jalan yang berlubang, bergelombak layaknya ombak dipantai. Saya kerap melihat jalanan dilokasi ada yang dibeton namun hanya berada di tengah dan tidak merata layaknya kue lapis. Sejatinya jalan alternatif ini sangat bermanfaat untuk dilalui, mohon tindak lanjutnya karena sering kali saya melewati jalan ini tidak ada perbaikan sama sekali, bahkan kalau malam tidak ada lampu penerangan jalan. Mohon sekali untuk di tindaklanjuti permasalahan jalan rusak ini. Tidak perlu evidence jalan yg rusak karena sepanjang jalanpun rusak. Terima kasih, semoga keluhan dari masyarakat khususnya saya sendiri cepat di tanggapi dan dilakukan perbaikan."	"2025-10-08T08:52:15.842812Z"

53	"1"	"2025-10-08T08:57:58.878437Z"	1036	341.294	"Pelayanan Publik"	"Assalamualaikum, nuwun sewu ibu bupati. Saya warga desa karanganyar, kecamatan karanganyar RT 5 RW 1 ingin melaporkan bahwa di desa RT kami sudah 4 hari listrik padam, sudah beberapa kali di laporkan PLN tapi masih belum nyala juga hingga saat ini. Mohon bantuannya untuk konfirmasi ke PLN agar segera ditindaklanjuti segera. Terimakasih"	"2025-10-08T08:57:58.878437Z"

54	"1"	"2025-10-08T08:58:37.221980Z"	1037	37.04	"Pelayanan Publik"	"Kalau belum dapat tagih Pajak Air Bawah Tanah, pengaduannya kemana dan bagaimana ya?"	"2025-10-08T08:58:37.221980Z"

55	"1"	"2025-10-08T08:59:14.884769Z"	1038	36.29	"Pelayanan Publik"	"Assalamu'alaikum. Saya beserta rekan rekan selaku karyawan PT Cosmoprof Indokarya Purbalingga Yang sudah bekerja sejak awal berdirinya PT Cosmoprof Indokarya di Purbalingga dari Mei 2021 - Februari 2024. ingin melaporkan bahwa Saya selaku karyawan PT. Cosmoprof Indokarya merasa dirugikan karena dikeluarkan dari perusahaan tetapi harus atau diwajibkan membuat surat pengunduran diri, dan sebelum itu juga kami diwabkan atau dituntut untuk menandatangani surat perjanjian yg isinya tidak sesuai keinginan dan isi hati kami, supaya perusahaan tidak repot repot mengeluarkan uang saku pada setiap karyawan yang dituntut untuk keluar, sehingga Kami Karyawan yang dikeluarkan dari perusaan tidak mendapatkan apa apa uang pesangon. Selain itu juga perusahaan mewajiban atau menuntut kepada seluruh karyawan barongan untuk bisa target setiap harinya dengan menaikan target kerja dan lemburan dirumah tetapi menurunkan harga barang dan menghilangkan insentif barang yg dikerjakan karyawan dengan alasan persaingan dagang dengan luar negeri.."	"2025-10-08T08:59:14.884769Z"

56	"1"	"2025-10-08T08:59:37.165991Z"	1039	20.771	"Pelayanan Publik"	"bantulah kami para jobseeker yang memang sedah kesulitan mendapatkan pekerjaan. Banyak lowongan pekerjaan tetapi banyak juga saingannya."	"2025-10-08T08:59:37.165991Z"

57	"1"	"2025-10-08T09:00:28.945380Z"	1040	50.031	"Pelayanan Publik"	"Asalamualikum ngapunten. ...menginfokan sudah satu Minggu lampu jalan provinsi dari sebelah Utara kec. Mrebet sampai sebelum SMP 1 mrebet mati."	"2025-10-08T09:00:28.945380Z"

58	"1"	"2025-10-08T09:00:55.670269Z"	1041	25.697	"Pelayanan Publik"	"Kepada dinas terkait DINSOS, PLN purbalingga. Dengan segala hormat dan ijin menyampaikan keluh kesah saya tentang NIK sesui yg saya daftarkan untuk pengaduan NIK saya pribadi pernah disalah gunakan untuk pendaftaran Meter PLN tanpa seijin dan sepengetahuan saya pribadi. Dengan terjadinya hal tersebut apakah sya masih berhak untuk meminta bantuan dalam penerimaan BPJS PBI dan pendaftaran meter 450? Sebubungan NIK saya pernah di salahgunakan tanpa sepengetahuan dan melakukan rubah balik nama kepemilikan tanpa saya melakukan tandatangan maupun pemberitahuan mohon kiranya memberikan solusi."	"2025-10-08T09:00:55.670269Z"

59	"1"	"2025-10-08T09:01:10.627116Z"	1042	13.79	"Pelayanan Publik"	"Selamat malem pangapunten lampu penerangan jl provinsi dari sebelah utarankec. Mrebet s/ d smpn1 mrebet mati .sudah 5 harian.mohon dapatnya di perbaiki matursuwun"	"2025-10-08T09:01:10.627116Z"

