text,kategori
"Monumen Sudirman. Mohon untuk di tinjau. Karena jalan di depan Monumen rusak parah. Di perbaiki hanya sekedar tambal sulam yg tidak bermutu, tidak kuat. Jalan ini merupakan jalur utama menuju Karangmoncol n Bobotsari. Juga perlu pengawasan ketat petugas pada sore hari hingga malam dengan banyaknya anak-anak jalanan bermotor yang sangat mengganggu. Semakin banyak anak-anak perempuan nakal di sekitar Monumen Sudirman. Mohon perhatian Bapak Bupati. Sy tunggu responnya. Maturnuwun",Infrastruktur
"Assalamualaikum wr. wb. Perkenalkan diri saya warga sinduraja bernama Tri Suratno Putra mau melaporkan utk ditindaklanjuti, sebagai pengguna jalan yang sering mobilitas ke daerah karangmoncol via jembatan merah ada kerusakan patahan jalan diatas jembatan merah yang sudah sangat lama hanya diurug, tapi selalu saja amblas dan sangat tidak nyaman utk dilewati baik utk mobil ataupun sepeda motor kondisi terakhir retakan itu sdh diaspal utk bagian retakanya tp tetap saja masih belum bisa dilalui bdengan nyaman apa lagi retakan disalahsatu sisi, mohon utk ditindaklanjuti dengan sungguh2 mengingat banyak sekali pengguna jalan yang melalui akses jalan tersebut terimakasih sebelumnya",Infrastruktur
jalan rusak dan berlubang area garis hijau jalan rusak dan sepanjang jalan panican- kedungbenda sampai jembatan linggamas,Infrastruktur
masalah trotoar itu lain memang dikomplek Kauman trotoarnya udh rusak sepanjang dari arah timur ke barat mhon nanti bisa diperhatikan matur nwun,Infrastruktur
"Terkait Fisi Misi Mas Bupati Purbalingga Alus Dalane, Kepenak Ngodene Saya selaku masyarakat purbalingga ingin sekali jalan ketempat pemukiman warga merasakan halus jalannya.. Karna selama saya tinggal disini sudah 7tahun lebih jalan belum halus☺️😁🙏🏻 Suara lingkungan masyarakat sini, katanya jalan itu sudah di rabat beton tapi sudah berapa puluh tahun lalu, sudah lama Jadi sekarang sudah saatnya minta diperbaiki☺️😇🙏🏻 Dengan sangat hormat, mohon kepada Mas Bupati Purbalingga, untuk menghaluskan akeses jalan utama kepemukiman warga😇🙏🏻 Berikut saya lampirkan foto kondisi jalan sekarang🙏🏻 Demikian laporan singkat saya buat dengan sadar, tanpa ada paksaan dari pihak manapun🙏🏻 Terima Kasih🙏🏻 Best Regards🙏🏻",Infrastruktur
Masalah jalan perempatan pasar Padamara yg bergelombang dan jalan menuju perumahan yg banyak lubang.,Infrastruktur
jalan ada yg belum ditambal di belakang makam pahlawan yg ke arah desa babakan.sangat membahayakan kendaran roda 2.,Infrastruktur
"jalan rusak dan lubang berbahaya dari jembatan linggamas desa Kedung benda sampai desa bakulan kecamatan Kemangkon, permasalahan sudah lama tidak ada tindak lanjut dr bupati sebelumnya, banyak lubang dalam yang berbahaya terutama untuk pengendara motor",Infrastruktur
"selamat pagi mas fahmi Dimas sebelumnya perkenalkan nama saya RAGIL TIBYANIL HUDA,saya asli warga Purbalingga kecamatan Bukateja desa kembangan,jadi saya ingin melaporkan bahwa jalan dari arah Kemangkon ke jembatan linggamas,tolong di perbaiki mas,soalnya itu jalan akses beberapa warga Purbalingga khususnya saya sendiri untuk berangkat kuliah dan warga Purbalingga yang lain,dan saya berharap semogaa cepat di respon,biar tidak ada lagi insiden kecelakaan di jalan tersebut... terima kasih mas bupati semoga sehat selalu...",Infrastruktur
Saya warga Kauman ingin melapor dg segala hormat kepada beliau bapak Bupati sebelumnya mhon maaf yg sebesar-besarnya saya ingin mengajukan permintaan klw berkenan mhon dg sangat apabila memberi izin saya mhon pintu gerbang sebelah barat untuk bisa dibuka kembali biar nanti klw ada pengajian setiap hari Selasa ke 2 warga tidak terlalu muter juga untuk mengenang waktu saya masih anak suka main zaman dlu di Pendopo sekali lgi mhon maaf bila berkenan matur nwun,Pelayanan Publik
jalan rusak parah,Infrastruktur
"Permisi min,mau lapor jalan di desa kalikabong depan pt royal korindah itu rusak lg tolong diperbaiki yg lbh bagus Dan jalan di karangmanyar depan kuburan juga rusak",Infrastruktur
Sugeng siang pak bupati sehat selalu buat bapak dan keluarga. Amien .punten sanget pak bupati ijin sudah seminggu lebih kami melaporkan berkaitan dengan lampu jalan di jl provinsi tepatnya di jl mangunegara bobotsari depan kua mangunegara sampai jembatan kali pingen belum ada tindak lanjut.mohon ...karena di situ gelap banget matursuwun pak bupati ..ba,Infrastruktur
sepi pengunjung dan masalah momen lebaran pasar malam yang ada di gor,Sosial dan Ekonomi
"Kepada bapak bupati terpilih yang baru , penjualan miras di kabupaten Purbalingga masih dijual bebas ,apalagi di bulan Ramadhan ini masih ada yg menjual barang haram itu .saya mohon untuk yg masih jualan miras di sebelah timur rocket chiken mewek segera di tindak tegas , untuk di tutup ?",Ketertiban
"Assalamu'alaikum, maaf pak saya mau bertanya besaran zakat fitrah beras dan uang berapa nggih? dari kemenag purbalingga belum mengeluarkan dasarnya",Pelayanan Publik
ijin meng infokan jalur jalan yg kurang bagus/kurang benar di jalur SITAMA TLAGA,Infrastruktur
Kapan jalan didesa saya bisa diaspal ya soalnya sudah bahaya itu tunjungmuli tobong,Infrastruktur
"Jalan raya desa karangduren, kecamatan bobotsari ada beberapa lubang besar yang membahayakan pengendara. Mohon untuk ditangani. Terima kasih",Infrastruktur
"Saluran Drainase mangkrak pembangunannya dari bulan Agustus 2024 hingga sekarang belum ada lanjutan pengerjaan drainase, mohon segera di lakukan lanjutan pembangunan drainase hingga tuntas karena sangat mengganggu sistem pembuangan limbah rumah tangga. Alamat : Karangsentul RT006 RW002 Kelurahan Karangsentul Kecamatan Padamara Kabupaten Purbalingga mohon untuk pihak terkait tolong segera di lakukan pengerjaan kembali agar tidak mengganggu rumah depan pembangunan drainase yang mangkrak tersebut",Infrastruktur
"Kepada Yth. Bupati/Pemerintah Kota Purbalingga di Tempat Dengan hormat, Saya yang bertanda tangan di bawah ini, Salsabila Nur Imatul Adzillah, mahasiswa/i UIN Sunan Kalijaga Yogyakarta program studi Pendidikan Agama Islam, ingin menyampaikan permohonan kepada Pemerintah Kabupaten/Kota Purbalingga terkait dengan kesempatan untuk mendapatkan beasiswa pendidikan. Beasiswa ini akan sangat membantu saya dalam menyelesaikan pendidikan yang sedang saya jalani, mengingat pentingnya kelanjutan studi untuk meningkatkan kualitas diri dan kontribusi saya kepada masyarakat dan daerah. Sebagai mahasiswa pembelajar, saya sangat berharap dapat terus fokus pada pendidikan tanpa terhambat oleh kendala biaya. Oleh karena itu, dengan segala hormat, saya memohon dukungan dari Pemerintah Kabupaten/Kota Purbalingga untuk memberikan kesempatan kepada saya memperoleh beasiswa pendidikan yang disediakan. Saya sangat mengapresiasi perhatian dan kesempatan yang diberikan, dan berharap dapat berkontribusi lebih dalam pembangunan daerah setelah menyelesaikan pendidikan ini. Terima kasih atas perhatian dan kebijaksanaannya. Hormat saya, Salsabila Nur Imatul Adzillah zillaadzillah03@gmail.com",Pendidikan
"Assalamualaikum,saya Roza setiardi dusun brobot RT 07 RW 02 .. ingin melaporkan bahwa air di sumur saya dan warga RT 07 khususnya tercemar limbah pembuangan pabrik yang di buang di salah satu kolam milik warga dari RT 06 . Efek dari pembuangan limbah dari pabrik itu yang di tampung di kolam,membuat sumur kami tercemar,akibatnya air sumur menjadi bau,berbusa,bau besi,dan lain lain sehingga tidak layak di gunakan atau di konsumsi . Sudah ada tindakan dari pemilik kolam untuk mengurus kolam yang di jadikan pembuangan limbah,tetapi sudah 3 Minggu air dari sumur kami masih tercemar . Mohon bantuan dan tindakannya dari kepemerintahan dinas lingkungan hidup untuk segera menyelesaikan atau memberi solusi kepada kami . Karena sudah 3 Minggu air tidak bisa di gunakan . Kami sangat membutuhkan bantuannya . Terimakasih",Lingkungan
Selamat pagi pak bupati pangapunten melaporkan untuk jalan propinsi tepatnya jp mangunegara - Bobotsari depan KUA mangunegara lampu jl sudah 2 Minggu ngga nyala demikian pak bupati .kesuwun,Infrastruktur
Terjadi pemadaman listrik di perumahan griya abdi kencana Purbalingga Wetan,Pelayanan Publik
lampu jalan penerangan utama mata mati,Infrastruktur
Mas. Bupati ngapunten sampun 10 hari lampu jalan tanjakan kucel ngga nyala. Matursuwun semoga selalu di beri kesehatan mas bupati dan keluarga.,Infrastruktur
Mohon bis trans Jateng melewati jalur UIN saizu kampus 2 Purbalingga atau ada bis trans Purbalingga utk mempermudah mahasiswa UIN saizu kampus 2,Pelayanan Publik
"Di depan klinik NU karangmoncol ada pabrik pupuk organik terbuka yang beroperasi, tanpa adanya dinding atau sekat apapun, sehingga polusi udaranya sangat mengganggu, mohon perhatiannya apakah ada sertifikat amdal nya? Karena bahan2 nya saya kira juga berbahaya, maturnuwun.",Lingkungan
"BPJS Saya terdaftar di bpjs mandiri, itu dulu didaftarkan oleh saudara,baru tau awal tahun ini. Ternyata ada tunggakan total KK ada 3 orang total rupiah 5juta sekian. Saya kemarin ke Dinsos di Mall, sudah di cek terdaftar di DTKS. Karena tidak mampu untuk membayar tunggakan, saya berharap untuk bisa daftar di BPJS PBI. Untuk mendaftar BPJS PBI, dimana? Dan syarat yang harus dipersiapkan apa saja? Terimakasih",Sosial dan Ekonomi
"Dokter puskemas karangmoncol tidak mencerminkan seorang dokter,tolong di tindak lanjuti",Pelayanan Publik
"Assalamualaikum,selamat pagi. Mohon bantuanya pak,untuk pohon mahoni dpinggir jalan raya sudah sangat lebat,sekarang musim hujan dan angin,mohon kiranya ada tindakan. Lokasi desa cipaku,kecamatan mrebet.tepatnya sebelah barat balaidesa cipaku yang arah ke siwadas. Matusuwun",Lingkungan
Terkait wifi Ruang trbuka hijau ptaman bojong mati tidak konek.sempat di benerin cuma tidak konek lagi.mohon di tindak lanjuti.,Pelayanan Publik
"lampu penerangan jalan mati lokasi : jl. letkol isdiman , purbalingga wetan depan kantor INSPEKTORAT",Infrastruktur
Kapan nih bus sekolah hibah dari Kemenhub bisa kita rasain manfaatnya? Anak sekolah pada nunggu loh!,Pelayanan Publik
"Di Desa Makam, Kecamatan Rembang, Kabupaten Purbalingga, khususnya dusun 1, telah banyak orang terjangkit DBD, ada lebih dari 7 orang opname dan banyak lainnya yg memilih rawat jalan di rumah. Saya sudah mengirim pesan ke perangkat desa, namun jawaban hanya dilempar ke si A B C, mohon kiranya dapat difasilitasi untuk dilaksanakan fogging kepada OPD terkait. Terimakasih",Lingkungan
"Saya mau melapor, entah ini pungli atau bukan. Di deareah saya desa losari kec rembang kab purbalingga. SMP 1 N Rembang ada pungutan Yg pertama: mengatas namakan untuk keperluan guru dan satpam dll, kepala sekolah menganjurkan 1.5jt per anak kelas 7 ABCDE&F tapi katanya itu sumbangan jadi tidak harus 1,5jt gpp. Yg kedua: infak harian yg nominalnya receh 1rb - 3rb Karena anak saya sekolah disitu, ada aja sumbangan yg begitu memberatkan orang tua. Mohon untuk di kroscek nggih ke sekolahan nggih. Dan untuk pelapor saya mohon tolong di lindungi namanya karena takut ada intimidasi di sekolah maupun untuk saya",Pendidikan
